,CANT,DESCR,SUBTOTAL_PARTIDA
104,1,"TER J 1/4""ØX4"" CON 1/2""-1/2""NPT BLOCK-CA",925.6
105,1,"TUB INOX 7/16""Øx280mm U 9000W 240V PLACA",1517.63
106,4,"TUB INOX 1/4""ØX123MM 250W220V CIRCULAR/M",1995.4
107,1,FAB BOBINA 8020 2000W 220V BASTIDOR NVO,2629.5
108,1,"RC 5/16""ØX37CM 300W 110V EXT. 25CM",535.09
109,2,"TUB INOX 1/2""ØX2018MM 4000W 250V ESP/BUS",2391.69
110,1,"TU ""U"" Ø 8 MM X 500 MM 3000 W 220V",1572.45
111,4,"TUB INOX 5/16""ØX362CM 5000W220 V T/CABLE",9502.0
112,2,TUE Ø 8 MM X 303 APROX 5000 W 220 V,4161.7
113,1,"TUBU"" 5/16""Øx21.5cm 2700W220V 3PZ COBRE""",2118.0
114,1,"TUB INOX 7/16""ØX26CM 2700W 240V ""M"" BUSH",1250.0
115,4,CAS INOX 12MMØX90MM 220W 110V  EXT.15CMS,2468.0
116,2,BB INOX 40MMØX60MM 300W 240V EXT.30CM,1020.0
117,1,"TUB INOX 1/4""Øx280mm 200W 120V RECTA ZAP",197.5
118,1,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",1000.0
119,4,"TER J 3/16""ØX5"" EXT4MT RES/MALLA INOX",1700.8
120,2,"TER J 3/16""ØX9"" EXT4MT RES/MALLA INOX",971.0
121,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",385.0
122,2,"CAR BAJA INOX 5/8x97CMS 2400W 440V CABL""",3892.24
123,1,"TUB INOX 1/4""Øx280mm 200W 120V RECTA ZAP",197.5
124,1,"TUB INOX 5/16""ØX25.5CM 2500W110V CLIP PL",871.5
125,3,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,1125.87
126,2,CAE 12.5MMØx312.42MMLONG 90° 1200W 220V,2200.0
127,1,"CAS INOX 1/2""ØX3 1/2"" 400W 127V EXT.30CM",565.4
128,4,"TERMOPOZO COBRE 3/8""x126mm 1/2""A1/2"" NPT",1406.56
129,4,"TUB INOX 5/16""ØX240MM 1000W 120V BUS5/8",3953.0
130,4,"TUB INOX 7/16""ØX26CM 1100W127V BUSH",3314.76
131,4,"CAS INOX 1/2""ØX5"" 750W127V EXT.30CM",2630.32
132,1,"TUB INOX 1/4""ØX16CM 700W127V ESPIRAL TAP",1125.0
133,1,"TUB INOX 1/4""ØX16CM 700W127V ESPIRAL PLA",1125.0
134,15,"TUB 7/16""X46CMS U 1500W 480V. ESPECIAL",13701.02
135,1,"BOQUILLA 2X2""  350W 240V""",462.0
136,1,"TUB COBRE 5/16""ØX225MM 2400W115V TAP",2665.3
137,1,"TUB INOX 5/16""ØX20CM 2000W 220V ""J"" TAP",1579.6
138,12,"CBS 90° 3/4""Øx39.9/16 2600W400V EXT. 55""",21602.16
139,4,"BN 3""ØX5""ANCHO 1000W 220V CIERRE STD",2134.4
140,10,PISTOLA DE AIRE 3500W 220V,7200.0
141,3,"TUB INOX 5/8""ØX150CM 2590W 256V REC/ALET",5632.95
142,7,"PT-100 3/16""ØX 1 1/2"" CON 3/8""-A1/2""NPT",6804.0
143,2,"TUB INOX 5/16""ØX307MM  2100W220V ""M"" CUA",3798.36
144,2,"TUB INOX 7/16""ØX210MM 800W127V ""U""  BUSH",2045.0
145,3,"TUB INOX 7/16""ØX58CM 8000W240V ""U"" CLAMP",11579.97
146,1,"TEA K"" 18mmØx540mm CABEZA MARINA""",1054.0
147,4,"TUB ""U"" 8mmØx650mm 10kW 440V 2pz TAPON",9596.04
148,3,"TUB INOX 1/4""Øx185MM 900W 120V ""M"" T-90°",3429.75
149,3,"RC 3/8""ØX175MM 375W125V EXT25CM",1705.95
150,3,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",9159.75
151,3,"TUB RECTA 1/2""ØX800MMLON 1000W 73V T/TOR",2116.5
152,2,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",1626.21
153,2,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 3 MT""",715.7
154,10,"CBS INOX 5/8""ØX13"" 1700W 240V EXT.30CM",8667.0
155,6,ELEMENTO K CAL.8X131.6MM CERAM/BLOCK CER,3085.5
156,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,307.5
157,2,"CBS INOX 3/8""ØX90CM 1300W 240V EXT.1MT",2092.22
158,3,"TER K 3/16""ØX1 1/2"" EXT.3MT MALLA S/ZAP",900.0
159,3,BN INOX 111MMØX85MM 1000W127V CIERRE STD,5973.0
160,4,"CAS INOX 3/8""ØX7"" 500W 127V EXT1MT",3036.68
161,4,"CAS INOX 3/8""ØX8"" 500W 127V EXT1MT",3152.2
162,2,BAN M/LUNA 129MMØX99MM 450W440V C/STD TO,840.0
163,1,BAN INOX 197MMØX152MM 3500W 440V T/TORNI,945.0
164,3,BAN P COMUN 218MMX85MM 800W440V 2BA T/TO,1035.0
165,2,BAN P COMUN 219MMX275MM 1800W440V 4B/TOR,1989.28
166,2,BAN P COMUN 197MMX31CM 2000W440V 4BA TOR,1476.8
167,1,BAN A/COMUN 263mmØx115mm 2800W 220V STD,1452.18
168,6,"TUB INOX 1/4""Øx280mm 200W 120V RECTA ZAP",1185.0
169,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 4 MT,336.93
170,6,CAM INOX 12.5MMØX100MM 750W 240V EXT30CM,3409.56
171,1,REPARACION DE PLANCHA 4500W 240V ESP,2259.43
172,2,"TUB INOX 1/4""ØX50CM 400W127V RECTA T/TOR",894.84
173,1,"TUB INOX 5/16""Øx335mm. U 7600W 230V PLAQ",2174.6
174,1,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",919.0
175,2,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,290.0
176,8,"PT-100 2MMX1"" DESNUDO EXT.113CM SOGUILLA",3000.0
177,2,"PT-100 5/16""ØX40CM CON1/2""NPT EXT10M PLI",5251.0
178,8,"TUBULAR U"" 5/16"" 203MM 1500W 127V""",4758.64
179,2,"TUB INOX 1/4""Øx355MM 4500W230V ESP/PLAC",4556.9
180,1,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",408.87
181,1,"TUB INOX 1/4""Øx1500mm 3000W 230V BUSHING",1136.53
